id,type,name,creator,starring,year,rating,time,genres
81247687,Movie,Face Off 2: The Studio,,"Ly Hai, Hua Minh Dat, Quoc Thuan",2016,TV-PG,89 min,"Comedy Movies ,Action & Adventure Movies"
81604825,Movie,Rangabali,,"Naga Shourya, Yukti Thareja, Shine Tom Chacko",2023,TV-14,134 min,"Romantic Comedy Movies ,Drama Movies ,Comedy Movies ,Romantic Movies ,Action & Adventure Movies "
81497489,Movie,Big Nunu's Little Heist,,"Jefferson Tshabalala, Tony Miyambo, Amahle Khumalo",2023,TV-14,92 min,"Comedy Movies ,Action & Adventure Movies "
81424438,Movie,Guns Akimbo,,"Daniel Radcliffe, Samara Weaving, Natasha Liu Bordizzo",2019,TV-MA,97 min,"Comedy Movies ,Action & Adventure Movies"
81416977,Movie,The Takedown,,"Omar Sy, Laurent Lafitte, Izïa Higelin",2022,TV-MA,121 min,"Crime Movies ,Comedy Movies ,Action & Adventure Movies"
81005492,Movie,Spenser Confidential,,"Mark Wahlberg, Winston Duke, Alan Arkin",2020,TV-MA,111 min,"Crime Movies ,Comedy Movies ,Mystery Movies ,Movies Based on Books ,Action & Adventure Movies "
81251628,Movie,The Man from Toronto,,"Kevin Hart, Woody Harrelson, Kaley Cuoco",2022,TV-PG,112 min,"Comedy Movies ,Action & Adventure Movies "
81435736,Movie,Omo Ghetto: the Saga,,"Funke Akindele-Bello, Ayo Makun, Chioma Chukwuka Akpotha",2020,TV-MA,146 min,"Drama Movies ,Comedy Movies ,Action & Adventure Movies "
81212842,Movie,Murder Mystery 2,,"Adam Sandler, Jennifer Aniston, Mark Strong",2023,TV-PG,90 min,"Comedy Movies ,Mystery Movies ,Action & Adventure Movies "
81253859,Movie,The Last Mercenary,,"Jean-Claude Van Damme, Alban Ivanov, Éric Judor",2021,TV-PG,112 min,"Comedy Movies ,Action & Adventure Movies"
80242619,Movie,Murder Mystery,,"Adam Sandler, Jennifer Aniston, Luke Evans",2019,TV-14,98 min,"Comedy Movies ,Mystery Movies ,Action & Adventure Movies "
81227923,Movie,Børning 3: Asphalt Burning,,"Anders Baasmo Christiansen, Kathrine Thorborg Johansen, Ida Husøy",2020,TV-PG,100 min,"Comedy Movies ,Action & Adventure Movies"
80202809,Movie,Superlopez,,"Dani Rovira, Alexandra Jiménez, Julián López",2018,TV-PG,107 min,"Comedy Movies ,Action & Adventure Movies"
80063265,Movie,The Do-Over,,"Adam Sandler, David Spade, Paula Patton",2016,TV-MA,108 min,"Comedy Movies ,Action & Adventure Movies "
80049284,Movie,The Nice Guys,,"Russell Crowe, Ryan Gosling, Angourie Rice",2016,TV-MA,115 min,"Comedy Movies ,Mystery Movies ,Action & Adventure Movies "
